Node;Node Coordinates;;
No.;X [mm];Y [mm];Z [mm]
456;20455.8;1396.1;5200.0
457;19947.1;718.5;5200.0
458;6355.0;0.0;5200.0
459;23045.0;-7500.0;3500.0
460;23045.0;-6562.5;3712.5
461;22070.0;-6562.5;3712.5
462;22070.0;1666.7;5200.0
463;24020.0;-6562.5;3712.5
464;23045.0;-5625.0;3925.0
465;22070.0;-5625.0;3925.0
466;24020.0;-5625.0;3925.0
467;23045.0;-4687.5;4137.5
468;22070.0;-4687.5;4137.5
469;24020.0;-4687.5;4137.5
470;23045.0;-3750.0;4350.0
471;22070.0;-3750.0;4350.0
472;24020.0;-3750.0;4350.0
473;23045.0;-2812.5;4562.5
474;22070.0;-2812.5;4562.5
475;24020.0;-2812.5;4562.5
476;23045.0;-1875.0;4775.0
477;22070.0;-1875.0;4775.0
478;24020.0;-1875.0;4775.0
479;23045.0;-937.5;4987.5
480;22070.0;-937.5;4987.5
481;24020.0;-937.5;4987.5
482;23045.0;0.0;5200.0
483;15315.0;2500.0;5200.0
484;23045.0;1666.7;5200.0
485;23045.0;2500.0;5200.0
486;24020.0;1666.7;5200.0
487;13075.0;2500.0;5200.0
488;23045.0;833.3;5200.0
489;24020.0;833.3;5200.0
490;-400.0;-937.5;4987.5
491;-1375.0;-937.5;4987.5
492;-2350.0;-468.8;5093.8
493;-2350.0;-1406.3;4881.3
494;-2350.0;-2343.8;4668.8
495;-2350.0;-3281.3;4456.3
496;-2350.0;-4218.8;4243.8
497;-2350.0;-5156.3;4031.3
498;-2350.0;-6093.8;3818.8
499;-2350.0;-7031.3;3606.3
500;-1375.0;0.0;5200.0
501;-400.0;-1875.0;4775.0
502;-2350.0;2083.3;5200.0
503;-2350.0;1250.0;5200.0
504;-2350.0;416.7;5200.0
505;-1862.5;-7500.0;3500.0
506;-887.5;-7500.0;3500.0
507;-400.0;-2812.5;4562.5
508;-1862.5;0.0;5200.0
509;-887.5;0.0;5200.0
510;-1862.5;2500.0;5200.0
511;-887.5;2500.0;5200.0
512;-400.0;-468.8;5093.8
513;-400.0;-1406.3;4881.3
514;-400.0;-2343.8;4668.8
515;-400.0;-3281.3;4456.3
516;-400.0;-4218.8;4243.8
517;-400.0;-5156.3;4031.3
518;-400.0;-6093.8;3818.8
519;-400.0;-7031.3;3606.3
520;-1375.0;-1875.0;4775.0
521;-1375.0;-2812.5;4562.5
522;-1375.0;-3750.0;4350.0
523;-400.0;-3750.0;4350.0
524;-1375.0;-4687.5;4137.5
525;-400.0;-5625.0;3925.0
526;-400.0;-6562.5;3712.5
527;-1375.0;-6562.5;3712.5
528;-2350.0;-937.5;4987.5
529;-2350.0;-1875.0;4775.0
530;-2350.0;-3750.0;4350.0
531;-2350.0;-4687.5;4137.5
532;-2350.0;-6562.5;3712.5
533;-1375.0;2500.0;5200.0
534;-1375.0;1666.7;5200.0
535;-400.0;1666.7;5200.0
536;-2350.0;1666.7;5200.0
537;-1375.0;833.3;5200.0
538;-400.0;833.3;5200.0
539;-2350.0;833.3;5200.0
540;1875.0;0.0;5200.0
541;4115.0;0.0;5200.0
542;13075.0;0.0;5200.0
543;17555.0;0.0;5200.0
544;22070.0;-7031.3;3606.3
545;22070.0;-6093.8;3818.8
546;22070.0;-5156.3;4031.3
547;22070.0;-4218.8;4243.8
548;22070.0;-3281.3;4456.3
549;22070.0;-2343.8;4668.8
550;22070.0;-1406.3;4881.3
551;22070.0;-468.8;5093.8
552;10835.0;0.0;5200.0
553;8595.0;0.0;5200.0
554;15315.0;0.0;5200.0
555;22557.5;-7500.0;3500.0
556;23532.5;-7500.0;3500.0
557;17555.0;2500.0;5200.0
558;22557.5;0.0;5200.0
559;23532.5;0.0;5200.0
560;22557.5;2500.0;5200.0
561;23532.5;2500.0;5200.0
562;19795.0;0.0;5200.0
563;22070.0;833.3;5200.0
564;24020.0;-7031.3;3606.3
565;24020.0;-6093.8;3818.8
566;24020.0;-5156.3;4031.3
567;24020.0;-4218.8;4243.8
568;24020.0;-3281.3;4456.3
569;24020.0;-2343.8;4668.8
570;24020.0;-1406.3;4881.3
571;24020.0;-468.8;5093.8
572;19795.0;2500.0;5200.0
573;24020.0;2083.3;5200.0
574;24020.0;1250.0;5200.0
575;24020.0;416.7;5200.0
576;-887.5;-937.5;4987.5
577;-1375.0;-468.8;5093.8
578;-887.5;-1875.0;4775.0
579;-1375.0;-1406.3;4881.3
580;-887.5;-2812.5;4562.5
581;-1375.0;-2343.8;4668.8
582;-887.5;-3750.0;4350.0
583;-1375.0;-3281.3;4456.3
584;-887.5;-4687.5;4137.5
585;-1375.0;-4218.8;4243.8
586;-887.5;-5625.0;3925.0
587;-1375.0;-5156.3;4031.3
588;-887.5;-6562.5;3712.5
589;-1375.0;-6093.8;3818.8
590;-1375.0;-7031.3;3606.3
591;-1862.5;-937.5;4987.5
592;-1862.5;-1875.0;4775.0
593;-1862.5;-2812.5;4562.5
594;-1862.5;-3750.0;4350.0
595;-1862.5;-4687.5;4137.5
596;-1862.5;-5625.0;3925.0
597;-1862.5;-6562.5;3712.5
598;-1375.0;2083.3;5200.0
599;-887.5;1666.7;5200.0
600;-1862.5;1666.7;5200.0
601;-1375.0;1250.0;5200.0
602;-887.5;833.3;5200.0
603;-1862.5;833.3;5200.0
604;-1375.0;416.7;5200.0
605;23045.0;-7031.3;3606.3
606;22557.5;-6562.5;3712.5
607;23532.5;-6562.5;3712.5
608;23045.0;-6093.8;3818.8
609;22557.5;-5625.0;3925.0
610;23532.5;-5625.0;3925.0
611;23045.0;-5156.3;4031.3
612;22557.5;-4687.5;4137.5
613;23532.5;-4687.5;4137.5
614;23045.0;-4218.8;4243.8
615;22557.5;-3750.0;4350.0
616;23532.5;-3750.0;4350.0
617;23045.0;-3281.3;4456.3
618;22557.5;-2812.5;4562.5
619;23532.5;-2812.5;4562.5
620;23045.0;-2343.8;4668.8
621;22557.5;-1875.0;4775.0
622;23532.5;-1875.0;4775.0
623;23045.0;-1406.3;4881.3
624;22557.5;-937.5;4987.5
625;23532.5;-937.5;4987.5
626;23045.0;-468.8;5093.8
627;22557.5;1666.7;5200.0
628;23045.0;2083.3;5200.0
629;23532.5;1666.7;5200.0
630;22557.5;833.3;5200.0
631;23045.0;1250.0;5200.0
632;23532.5;833.3;5200.0
633;23045.0;416.7;5200.0
634;-887.5;-468.8;5093.8
635;-887.5;-1406.3;4881.3
636;-887.5;-2343.8;4668.8
637;-887.5;-3281.3;4456.3
638;-887.5;-4218.8;4243.8
639;-887.5;-5156.3;4031.3
640;-887.5;-6093.8;3818.8
641;-887.5;-7031.3;3606.3
642;-1862.5;-468.8;5093.8
643;-1862.5;-1406.3;4881.3
644;-1862.5;-2343.8;4668.8
645;-1862.5;-3281.3;4456.3
646;-1862.5;-4218.8;4243.8
647;-1862.5;-5156.3;4031.3
648;-1862.5;-6093.8;3818.8
649;-1862.5;-7031.3;3606.3
650;-887.5;2083.3;5200.0
651;-1862.5;2083.3;5200.0
652;-887.5;1250.0;5200.0
653;-1862.5;1250.0;5200.0
654;-887.5;416.7;5200.0
655;-1862.5;416.7;5200.0
656;22557.5;-7031.3;3606.3
657;23532.5;-7031.3;3606.3
658;22557.5;-6093.8;3818.8
659;23532.5;-6093.8;3818.8
660;22557.5;-5156.3;4031.3
661;23532.5;-5156.3;4031.3
662;22557.5;-4218.8;4243.8
663;23532.5;-4218.8;4243.8
664;22557.5;-3281.3;4456.3
665;23532.5;-3281.3;4456.3
666;22557.5;-2343.8;4668.8
667;23532.5;-2343.8;4668.8
668;22557.5;-1406.3;4881.3
669;23532.5;-1406.3;4881.3
670;22557.5;-468.8;5093.8
671;23532.5;-468.8;5093.8
672;22557.5;2083.3;5200.0
673;23532.5;2083.3;5200.0
674;22557.5;1250.0;5200.0
675;23532.5;1250.0;5200.0
676;22557.5;416.7;5200.0
677;23532.5;416.7;5200.0
